#		Geographic lat			East lon
# station	deg	min	sec		deg	min	sec		alt	
#------------------------------------------------------------------------------------
# observatories [1]
PALOMAR		33	21	22		-116	51	50		1706
CATALINA	32	25	0.7		-110	43	55.1		2510
KITT_PEAK	31	57	47		-111	35	57.8		2076
MMT		31	41	19.6		-110	53	4.3		2608
SAN_PEDRO	31	2	38		-115	27	47		2830
MCDONALD	30	40	17.7		-104	1	17.6		2075
UKIRT		19	49	32		-155	28	23		4198
IRTF		19	49	46		-155	28	28.29		4182
ESO1		-29	15	23.99		-70	44	18.33		2321
ESO2		-29	15	28.05		-70	44	11.96		2317
CTIO		-30	9	57.8		-70	48	53.6		2235

# DSN stations [2]
DSS12		35	17	59.77577	243	11	40.24697	0962.875
DSS13		35	14	49.79354	243	12	19.95493	1071.178
DSS14		35	25	33.24518	243	6	37.66967	1002.114
DSS15		35	25	18.67390	243	6	46.10495	0973.945
DSS16		35	20	29.54391	243	7	34.86823	0944.711
DSS17		35	20	31.83778	243	7	35.38803	0937.650
DSS23		35	20	22.38335	243	7	37.70043	0946.086
DSS24		35	20	23.61555	243	7	30.74842	0952.156
DSS25		35	20	15.40450	243	7	28.69836	0960.862
DSS26		35	20	08.48213	243	7	37.14557	0960.159
DSS27		35	14	17.78052	243	13	24.06569	1053.203
DSS28		35	14	17.78136	243	13	15.99911	1065.382
DSS33		-35	24	01.76138	148	58	59.12204	0684.839
DSS34		-35	23	54.53995	148	58	55.06320	0692.750
DSS42		-35	24	02.44494	148	58	52.55936	0675.356
DSS43		-35	24	8.74388		148	58	52.55394	0689.608
DSS45		-35	23	54.46400	148	58	39.65992	0675.086
DSS46		-35	24	18.05462	148	58	59.08571	0677.551
Parkes		-32	59	54.25297	148	15	48.64683	0415.529
DSS53		40	25	38.48036	355	45	1.24307		0827.501
DSS54		40	25	27.75526	355	44	48.99940	0823.939
DSS61		40	25	43.45508	355	45	3.51113		0841.159
DSS63		40	25	52.34908	355	45	7.16030		0865.544
DSS65		40	25	37.86055	355	44	54.88622	0834.539
DSS66		40	25	47.90367	355	44	54.88739	0850.582

HH		32	13	57.6516		-110	55	40.4148

# [1] French et al. (1993)
# [2] Folkner (1997)

