# Star common name translation file
#
# Proper name	    Bayer 	   TYCHO-2		Hipparcos	SAO		UCACT		GSC
#		  Designation
#========================================================================================================================
                |                |    TYC         |         HIP    |         SAO    |     UCACT      |       GSC
#------------------------------------------------------------------------------------------------------------------------
                |          1 Aur |    2399  844   |          22453 |          57447 |                |    02399-01844
                |    tet01 Ori A |     4774-953   |          26220 |                |     424-010226 |               
                |        zet Cir |    9032-2566   |          72965 |         252951 |                |               
   Baten Kaitos |        zet Cet |    5278-2437   |           8645 |         148059 |                |    05278-02437
                |         55 Ori |     5347-905   |          27658 |         132591 |                |    05347-00905
                |       12 Aqr B |    5204  584-2 |                |         145064 |                |               
                |         45 Cap |    5800  062   |         107302 |         164612 |                |    05800-01062
                |         52 Her |                |          82321 |          46305 |                |    03500-02419
                |      del01 CMi |     182-2739   |          36641 |         115581 |                |    00182-02739
                |        del Cen |    8241-3235   |          59196 |         239689 |                |    08241-03235
                |          4 CVn |    3020  698   |          60467 |          44155 |                |    03020-01698
                |      omi Oph A |     6812-592   |          84626 |         185238 |                |               
                |        eta Sco |     7882-569   |          84143 |         227707 |                |               
                |         34 Vir |     885  205   |          62394 |         100260 |                |    00885-01205
                |         82 UMa |     3851  26   |          66634 |          28832 |                |    03851-00126
                |        ksi Scl |     7533-569   |           4770 |         192870 |                |    07533-00569
                |       57 Aql A |    5725-3091   |          97966 |         143898 |                |               
                |         79 Cet |    4701  095   |          12048 |         129992 |                |               
                |      lam01 Phe |    8027  305   |           2472 |         215131 |                |               
                |         22 Cyg |    3137-3765   |          98068 |          69101 |                |    03137-03765
                |       25 CVn B |    2543  189-2 |                |                |                |               
                |      eta Mus C |     9242-879   |                |         252223 |                |    09242-00879
                |         20 Cet |    4674  183   |           4147 |         129009 |                |    04674-01183
                |         46 Tau |      667-495   |          19719 |         111672 |                |    00667-00495
                |        eta Aqr |                |         111497 |         146181 |                |               
                |         21 LMi |    2509  343   |          49593 |          61874 |                |    02509-01343
        SULAFAT |        gam Lyr |    2643-3346   |          93194 |          67663 |                |               
                |        125 Tau |    1865-2865   |          26640 |          77360 |                |    01865-02865
                |         28 And |    1737-2790   |           2355 |          74041 |                |    01737-02790
                |         90 Leo |                |          56473 |          99673 |                |               
                |      psi10 Aur |    3391-2640   |          33485 |          41463 |                |    03391-02640
                |         46 Cet |    5276-2116   |           6670 |         147803 |                |    05276-02116
                |         15 Psc |      585-450   |         116422 |         128270 |                |    00585-00450
                |        kap Pic |    8522  338   |          25098 |         233952 |                |    08522-01338
                |         44 Cap |    5800  061   |         107232 |         164600 |                |    05800-01061
                |          L Vel |    8180-2997   |          46950 |         237107 |                |    08180-02997
                |       95 Cet B |    4708  422-2 |                |                |                |               
                |          3 Gem |    1877  718   |          29225 |          78050 |                |    01877-01718
                |          g Cyg |    3590-3349   |         106093 |          50934 |                |    03590-03349
                |          9 Gem |    1878  430   |          29840 |          78176 |                |    01878-01430
                |       26 Aur C |    2404  355   |                |                |     603-023991 |               
                |        sig Scl |    6999-2321   |           4852 |         192884 |                |    06999-02321
                |         62 Cet |    4689  231   |          10033 |         129722 |                |    04689-01231
                |          b Sgr |    6899-2596   |          98162 |         188742 |                |    06899-02596
                |        lam Crt |    6088-2156   |          55598 |         156646 |                |    06088-02156
                |          l Pup |    6552-3228   |          37677 |         174400 |                |    06552-03228
     Copernicus |      rho01 Cnc |    1949-2012   |          43587 |          80478 |                |               
                |       17 Hya B |    5443  951-2 |                |         136408 |     411-046484 |               
                |          i Per |    3690-2172   |          11060 |          23256 |                |    03690-02172
