#					
# station:file	Geographic lat (deg)	   East lon (deg)	alt (m)
#------------------------------------------------------------------------------------
# Spitale and Porco (2007) jet sources 
SOURCE_I		-81.5			327.2		 0
SOURCE_II		-79.4			44.5		 0
SOURCE_III		-81.3			67.2		 0
SOURCE_IV		-72.9			211.3		 0
SOURCE_V		-78.6			287.7		 0
SOURCE_VI		-87.1			128.6		 0
SOURCE_VII		-74.6			330.2		 0
SOURCE_VIII		-82.1			244.5		 0


# Porco et al. (2014) jet sources 
P14-1           -75.820000                      299.72000        0
P14-2           -75.930000                      299.07000        0
P14-3           -76.250000                      297.86000        0
P14-4           -76.809998                      293.91000        0
P14-5           -77.559998                      291.31000        0
P14-6           -78.440002                      286.42000        0
P14-7           -80.239998                      275.10000        0
P14-8           -81.080002                      273.19000        0
P14-9           -81.980003                      267.67000        0
P14-10          -83.080002                      258.49000        0
P14-11          -83.070000                      251.60000        0
P14-12          -83.199997                      240.20000        0
P14-13          -82.849998                      228.28000        0
P14-14          -82.550003                      221.28000        0
P14-15          -82.169998                      210.13000        0
P14-16          -81.290001                      201.49001        0
P14-17          -80.620003                      195.39000        0
P14-18          -79.040001                      182.97000        0
P14-19          -77.510002                      179.66000        0
P14-20          -76.720001                      178.07001        0
P14-21          -76.169998                      172.67000        0
P14-22          -72.589996                      176.11000        0
P14-23          -72.809998                      156.58000        0
P14-24          -71.510002                      155.50000        0
P14-25          -75.300003                      323.19000        0
P14-26          -75.989998                      323.75000        0
P14-27          -77.180000                      326.30000        0
P14-28          -77.949997                      325.86000        0
P14-29          -78.760002                      324.77000        0
P14-30          -79.180000                      327.06000        0
P14-31          -80.379997                      326.85000        0
P14-32          -81.160004                      330.54000        0
P14-33          -82.830002                      334.46000        0
P14-34          -84.419998                      339.14000        0
P14-35          -84.400002                      339.74000        0
P14-36          -85.150002                      344.63000        0
P14-37          -86.190002                      345.00000        0
P14-38          -86.980003                      349.61000        0
P14-39          -88.250000                      358.32999        0
P14-40          -88.720001                      16.869995        0
P14-41          -89.209999                      34.079987        0
P14-42          -88.800003                      84.269989        0
P14-43          -87.849998                      117.14999        0
P14-44          -86.139999                      124.12000        0
P14-45          -84.000000                      127.69000        0
P14-46          -82.980003                      129.57001        0
P14-47          -80.760002                      126.30000        0
P14-48          -79.019997                      128.22000        0
P14-49          -77.639999                      128.38000        0
P14-50          -75.690002                      126.95000        0
P14-51          -72.449997                      129.08000        0
P14-52          -71.419998                      131.73000        0
P14-53          -70.919998                      130.89000        0
P14-54          -77.699997                      340.41000        0
P14-55          -78.540001                      338.50000        0
P14-56          -79.519997                      342.69000        0
P14-57          -80.459999                      342.72000        0
P14-58          -81.720001                      341.77000        0
P14-59          -82.690002                      340.70000        0
P14-60          -76.110001                      8.1700134        0
P14-61          -76.559998                      12.510010        0
P14-62          -77.500000                      16.779999        0
P14-63          -77.959999                      20.170013        0
P14-64          -77.940002                      24.480011        0
P14-65          -78.879997                      28.940002        0
P14-66          -78.559998                      32.679993        0
P14-67          -78.820000                      35.489990        0
P14-68          -79.690002                      41.529999        0
P14-69          -79.860001                      45.769989        0
P14-70          -80.250000                      51.730011        0
P14-71          -80.309998                      53.649994        0
P14-72          -79.900002                      62.119995        0
P14-73          -80.320000                      64.929993        0
P14-74          -80.489998                      73.309998        0
P14-75          -79.970001                      79.440002        0
P14-76          -79.820000                      83.869995        0
P14-77          -77.949997                      92.700012        0
P14-78          -76.989998                      95.880005        0
P14-79          -76.389999                      101.06000        0
P14-80          -75.139999                      104.77000        0
P14-81          -73.139999                      107.42999        0
P14-82          -72.430000                      109.73000        0
P14-83          -71.970001                      18.649994        0
P14-84          -72.870003                      19.299988        0
P14-85          -73.599998                      19.910004        0
P14-86          -74.639999                      20.160004        0
P14-87          -75.550003                      23.410004        0
P14-88          -76.550003                      27.170013        0
P14-89          -75.070000                      240.34000        0
P14-90          -74.559998                      203.30000        0
P14-91          -73.169998                      199.78000        0
P14-92          -70.559998                      192.03999        0
P14-93          -69.580002                      190.99001        0
P14-94          -74.099998                      171.69000        0
P14-95          -74.070000                      157.28999        0
P14-96          -72.989998                      323.37000        0
P14-97          -74.040001                      323.72000        0
P14-98          -75.949997                      224.95000        0
P14-99          -71.239998                      325.65000        0
P14-100          -73.940002                      249.23000        0
